,long_team,team_num,teamname
3714,oe:team:0f7a1cc8446196c969e9ed7ab180e7d,91,Malvinas Rise
3725,oe:team:0f81531c6eb6a2aa8fd428b19acabd0,92,Luxor Gaming
3726,oe:team:0f915796a913d5a8fd01f830d5ad3e2,93,Guarp Gaming
3730,oe:team:0ffca231017728de3912ab5e474d12c,94,against All authority
3746,oe:team:101f8589e58c724c1dcd5a9c1555277,95,DRX
3975,oe:team:108d8dd5293715c077fd7e33643028c,96,Varona Esports
3984,oe:team:10b48447bc74f36daefaf538256e696,97,Team Clarity
3994,oe:team:10bfef11013e97d8caf67bac2bd8fb4,98,PSV Esports Academy
4007,oe:team:10ce81cc4b8f1ade3f8d3aab9866467,99,Nova Esports
4027,oe:team:10fcef4da0f964b6238c2abf5bdca07,100,Back2TheGame Outlaws
4033,oe:team:10fe85810efd60943daa38355eb6054,101,KIT SC SmartWe
4036,oe:team:1129ec2d3533aa87e078d02ebc0d8d3,102,No Name
4037,oe:team:11316fd322539b98a9a695912841fac,103,Awesome Spear Academy
4047,oe:team:1158ec5b08f516ca81868bc48293989,104,Team ESCA Gaming
4112,oe:team:11906fcdcf6e25e9a5e85b782beb1ba,105,300
4116,oe:team:11b12070e876658f576ec41209f10aa,106,Macro Maniacs
4127,oe:team:11d06b1fb262e1879c0df46fa28499c,107,No Name
4128,oe:team:11ebb3b1152f4086e0bb3345fb91ee4,108,No Name
4129,oe:team:11f5f2c70a8b02dc6d17fac94c126c9,109,MOBA ROG
4164,oe:team:120458344421ad48ba0be59fbe15dd1,110,SCARZ
4187,oe:team:1210047b1f9e343b6a2f0e48358733c,111,ACTINA PACT
4206,oe:team:124467d9a6d8086151a0b4cac721066,112,Flayn eSports CZSK Edition
4213,oe:team:125fc4d6b0dc1b21596f4f06a207d62,113,Zero Tenacity
4328,oe:team:126d75f320051aed7d29f443a90f7a2,114,Zenigma Eclipse
4334,oe:team:1277180e600ca5f219e91d672a69f7f,115,G2 Heretics
4358,oe:team:127cb9411cd6e3788e2a4193a6e8850,116,Team Plink
4360,oe:team:1285e1c04d54de96502f12da4d49458,117,Team Heretics
4424,oe:team:128d0cec08b877912eb91f94a1f3295,118,Astralis
4482,oe:team:12af596813af42a79d1e34b8800d251,119,UCAM Esports Club Academy
4489,oe:team:12dec4e1f7ec620651b2b95c440ffac,120,SQUARE
4500,oe:team:12eb870ed3419407c763c34f905e65a,121,Minus Three
4501,oe:team:12f0138300dd741199ea6ad1666531c,122,Atomic México
4535,oe:team:1301a0d2c6221cc9417ff939fc4d5a0,123,Odyssey Gaming
4538,oe:team:1310f2e190ddbb40c0462fb57084428,124,No Name
4539,oe:team:134d1af7b5cafdd70f8f1ecdb2306c7,125,Angry Bats
4542,oe:team:1360b56735647c1a908fc807aa8f09c,126,Ruddy Esports
4559,oe:team:13697a0e9b7df2bbb787cca7b9fd140,127,Jörmungang
4564,oe:team:13909e6689e1df762fd22aee7999e77,128,Timeout Esports
4569,oe:team:13caf544e9d552f669c15d697f5e6b9,129,Flamengo Academy
4608,oe:team:13cc0048846a92bc721899580fe666c,130,Midnight Sun Esports
4658,oe:team:1403f42870de19dee6af045d2f65e29,131,Nocturns Gaming
4701,oe:team:14098ac4d339fe1a0f13e74109a493c,132,Rockhead Players
4702,oe:team:142fd4ee188f60dc0549cdca7610e55,133,Unicorns of Love
4835,oe:team:1446c057b4ff1cc83d7126382d86a9a,134,Aware Gaming
4836,oe:team:144fd27a5b974d216d3e2dd26283bb5,135,Team Gates
4841,oe:team:1486bbe432b1153d9a83ff6e75d6c90,136,Young Miracles
5016,oe:team:14ad76b8d9e647d4b29c3d26ecd29c9,137,MS Company
5037,oe:team:14b278a98a1b9727523f77e7d6c759e,138,SBENU Korea
5098,oe:team:14df65afe42f4703832beda2efeba28,139,Sheng Jie Gaming
5115,oe:team:14ef7370c4cbc9bc08a771e3f7cbb4d,140,KT Rolster Academy
5149,oe:team:150ed90e9ca3262dbe6f3253b42ebb7,141,Bandits Gaming
5182,oe:team:1529e8ab605ab3c1492f3b83d5c384d,142,Overload
5184,oe:team:154210b19b5b63e6ca6145fe9917904,143,Stardust
5210,oe:team:15842ce075edd560e96177e2919be83,144,Striking Vipers Champions
5216,oe:team:158e31c37dbe9830ecca9741528f948,145,Team Flux
5217,oe:team:15cd04e605d88070159951f2801fa82,146,ORDER Academy
5234,oe:team:15ee27398a7075e6d267578bcf29e9f,147,Dark Crows
5241,oe:team:1638ee8ffc49cb9058500c4fffaeb97,148,Dino Gaming
5249,oe:team:16467fb3050a31b2b27672467beb1a8,149,AS Esports
5268,oe:team:1664f819c4a19a12d748a78a1ca0d7d,150,Qiao Gu Reapers
5274,oe:team:169482d39d38b4aeff05db79208759f,151,Team Empire
5302,oe:team:16f72e69fc7d2d27c151024912a6497,152,APOLLO GAMING
5314,oe:team:16fbfa0b9d8a6aaa7ea303ac6d70669,153,Rascal Jester
5464,oe:team:1704188dc8a75f5d0c78f344b5b9e9c,154,Alpha Sydney
5473,oe:team:17510332b3aaea6f1e10ab3b091b54d,155,DK Crew
5480,oe:team:178e4603342985e4154647761633799,156,Pertinax Esports
5481,oe:team:17b1cb79fe8d299f0eaed063132fdff,157,Project Sinners
5485,oe:team:17f42f64501a18c03627a58357acbe4,158,Naguara Mexico
5504,oe:team:17fa6b1358f7feeb5a68bbf5cd3d0d6,159,Esport STUBA
5512,oe:team:1814e10e29c1ebec936f15aa87797bd,160,YDN Esports
5535,oe:team:186ab4e0a1d44a51c426ed35af560f2,161,Asura eSports
5540,oe:team:18f958181ee7b75ce7aaaf299a311df,162,Douyin Tony Top
5546,oe:team:195cd5e125970a033b3b79e304bf85c,163,RATE Gaming
5552,oe:team:1961f0a198997edc84b41b7da7f643d,164,EVOS Esports
5673,oe:team:197be2494181ca61af31737a390e397,165,Team Manila Eagles
5679,oe:team:1983b6e9dc5d2b7538f8787448dd5d7,166,Beşiktaş Academy
5773,oe:team:199301cdad60fad3c201615b42aab67,167,NYYRIKKI White
5776,oe:team:199c31b0e7e7a1940be7eb7e4aa53ec,168,Team Universe
5805,oe:team:19d3605cf0a349ebec4b09e18374d67,169,Meloncats
5806,oe:team:19de4148001c056cbc5804dc8636190,170,Club Deportivo Municipal
5827,oe:team:1a0fed546500648f74f5069d63edf24,171,GC Busan SANDBOX
5829,oe:team:1a318187a04356ffbb9216db95d4fbf,172,DWG KIA Academy
5863,oe:team:1a9887b52c7cb6550d325ede8244a12,173,HOU GAMING
5865,oe:team:1aa8a23eb9d06ab039f112088bc905c,174,Samsung White
5873,oe:team:1ab54595dac94e054c4f3831f7ccb98,175,Janus Esports
5926,oe:team:1ac4df9688139a3995d92043a9aedf9,176,Big Plays Incorporated
5938,oe:team:1b18017e07a881162b1363034370b6f,177,Humanoids5
5947,oe:team:1b9ffe897d79c81c5deeca9e3c78f69,178,AaB Esport
5952,oe:team:1bcba9d314932379a955b3de9e8654d,179,NASR eSports Turkey
6018,oe:team:1bf134b02c87e9c980a67114a600a43,180,No Name
6019,oe:team:1c1e5c3fdd3090ed2162e9a17bcd4ab,181,Vikingekrig Esports
6072,oe:team:1c282536c5574499989be3aa8ae0600,182,OQ
6081,oe:team:1c81857b6ce6a3c1cd9220fd97e077f,183,Estral Esports
6203,oe:team:1c89da29fc415ae539fb8299388b9ba,184,Dare Gaming
6210,oe:team:1d0f5e58f39613aff1a3dd4ed85933e,185,FC Schalke 04 Esports
6410,oe:team:1d16ed15056eb83a39b0863b72cf2ad,186,Gamers2
6437,oe:team:1d1d0b0c76290957c7c9aa69a3ae4e7,187,Mirage Alliance
6455,oe:team:1d2d98dc13fa45e5f9b24ddce88c9e0,188,Gaming Team Kravaře
6480,oe:team:1d93dd0f3753b0af50c9f8307496922,189,eStar
6529,oe:team:1db6b0bedabd9183def8928e75633c6,190,Fukuoka Softbank HAWKS gaming Academy
6550,oe:team:1dc6411295a36bd29c29b1096ba859d,191,Team du Sud
6586,oe:team:1e3081dd5c7fccb47f2b0cec82117bd,192,Respawn Esports
6604,oe:team:1e43deb1f368f7574f37388e87db369,193,Gödel Gamers
6607,oe:team:1e6c5e927a3371615a4b52d6b845d17,194,404 Multigaming e.V.
6614,oe:team:1e6cd215a738a06f6bde5fc43618218,195,MeetYourMakers
6622,oe:team:1e8ab310a44559502177379445ad12d,196,XGamers
6669,oe:team:1e9864f507023ee6bf40ee13c457351,197,WingsOflibeRty
6670,oe:team:1ea33e423fda711df3254bb510eac95,198,Racoon
6742,oe:team:1ed1d3a123c9cb9961e9dada9786646,199,iDomina eSports
6758,oe:team:1f2037e30f42a254f0d6ac9df9fad9a,200,Dark Tigers
6791,oe:team:1f2a633ac1baa6782d705b479d0add9,201,Top Dog Gaming
6793,oe:team:1f75fda1d2b3b7aea236e4fd8a5dd4c,202,Saprissa Esports
6840,oe:team:1fa8035bcf1ab3abbbfd0eecfea8958,203,Rogue Esports Club
6869,oe:team:1fa8dca98f8e2e8b4077b5622355c61,204,Defusekids
6889,oe:team:1fcd541d3a51d70860c46eaae858ba8,205,Royal Youth
6929,oe:team:1ff3f5c94edd806e1fed4105fc48995,206,Geekay Esports
6954,oe:team:2013af66afe8640d60c0c92073714bb,207,Kings of the North
6972,oe:team:202701554502f458c89ef1fab2781c9,208,PIRTS
6975,oe:team:20f564506ae2ad8341b64b17965d360,209,Team Ambition Black
6976,oe:team:20ff34add9114f12f05bf760fe95004,210,Samsung Blue
6983,oe:team:21060505f3a0a34bbcb8f538cf0e231,211,Elementaries Esport Club
6992,oe:team:215b3bc4217842708191cc9be161132,212,Impunity
7066,oe:team:216b87f7739fab7fa9177e7e01c2c7b,213,IKISEQ Gaming
7085,oe:team:21903b00a2d96c19ca87cb0e4b28527,214,SPIKE Syndicate
7096,oe:team:21d5096acdfc62efed68418399ca291,215,MVP
7270,oe:team:22042a8a81add8ab741dcfc6c8985ca,216,Mkers
7309,oe:team:221e32a1601f8166140823cfac5fc71,217,Oh My Dream
7502,oe:team:2261bbacd055e64d38e4c43a2bfcbd9,218,eUnited
7533,oe:team:22cc1ec02bc49515b9e4a5f6318149a,219,Sector One
7613,oe:team:22d1a6ffc0fa291465b2fa0ece24b75,220,Sprout
7621,oe:team:22e3ecae7af241c9c5be021c855885e,221,Undead Gaming
7731,oe:team:22e85b1589714de8f4aa211025bf1fb,222,QLASH Spain
7769,oe:team:2360b31c1628a21ddd778891dabac91,223,Dark Matter
7790,oe:team:2362f7eb0a254f874a322769e206a01,224,Splyce Vipers
7806,oe:team:2375bf67ae2a232830947aaba2a6be7,225,Bastards Esports
7818,oe:team:237bdad69af2aa4bfd669ae26456cd1,226,SinoDragon Prince
7822,oe:team:23dda07cf3e2a786d6b300cc78a1cf6,227,GGEsports
7866,oe:team:23f2bd279251a0ee0f8c762ee3b0700,228,Machi Crew
7867,oe:team:2419c102f4ed9d9a100f80381aa8923,229,Dark Wolves
7882,oe:team:242740d647af081075d8ad7863ccb4a,230,Intergalaxy Tigers Gaming
7894,oe:team:24542d9de62f5d78a1e9977701cda29,231,Epsilon Esports
7909,oe:team:246827ba8505ab1bac1083d093120bc,232,Lowkey Esports.Vietnam
7935,oe:team:24c803324b67186eda323d3f077ce50,233,KRÜ Esports
7961,oe:team:24d4cca360ddad2c3eb478dce8a1a2e,234,RQS Esports
7966,oe:team:24de8726f1ed4baa0bf7c946640b920,235,Fly5
7970,oe:team:2506f4369f41031c5ae85640da9f749,236,LNG Academy
8174,oe:team:2540b4a0b7b84883270e4bee84cdc32,237,Esport Academy
8183,oe:team:25829f8f0cea05880678526dc19a8df,238,Cyber Gaming
8214,oe:team:25b0751ae06b76d14830ecef0a11715,239,HWA Academy
8226,oe:team:25d1db96f2b7d3a30e4a12329939220,240,Team Ambition Sussy
8227,oe:team:261717b9c2bb2e79e8ae53253d69768,241,Horizon Gaming
8228,oe:team:266c3f54200781c862b534392cf53f9,242,No Name
8229,oe:team:266f28c813f67d6f43897ef089f6cf6,243,ASUS ROG Army
8252,oe:team:26a71672e8a167cb76a4d3c53814920,244,Taurus Esports
8262,oe:team:26ff1a9f7fb8e976fbdcc5d2a8ac397,245,E WIE EINFACH E-SPORTS
8326,oe:team:26ffec0fda09c861a2a3828867f7c2d,246,No Name
8327,oe:team:2706074ae324e2df1c6cf90ce644ba0,247,Burning Core
8454,oe:team:272ff09ae291fdf2d216c02a428e1e1,248,CLG Faith
8488,oe:team:274c62a6d7e34e0e66e5f267a39d5f7,249,Machi Esports
8690,oe:team:279461902267b4990dbdbb4aebccef9,250,Kaisa Gaming
8737,oe:team:2799e04c7212d3c262467ef25427eda,251,IZI Dream
8821,oe:team:279a86f948fa264006bc8f4e67e5f93,252,TSM Amateur
8840,oe:team:27a248dbf699599e2a7c30ba9c22e89,253,BRION Academy
8856,oe:team:27b676a1e4c8cf0fa2eb95072cf19a6,254,Away from Normal
8857,oe:team:27b893ea8ff7bd787106a1f3de4738d,255,University of St. Trevor
8862,oe:team:27bcb7f4062fa834d3aa48013a24549,256,Cienciano Esports
8881,oe:team:27f9a0f6d7bc8ab1e40475cd66a294b,257,The Chiefs Black
8888,oe:team:2821021a236f205783e02a657158e0b,258,Sign Us Please
8889,oe:team:28428f3022fc1ea52264b35912093dc,259,Galakticos
9035,oe:team:2844099587c35cb0e600ebb009c291a,260,ES Sharks
9094,oe:team:2857b1b013cbea649c5c610a18efa44,261,Atleta Esport
9148,oe:team:2858f1ddd417c4a1e20a1a600126c67,262,Netshoes Miners Academy
9167,oe:team:289284911fb6f41c0ccaecc3a0c2891,263,Disguised
9196,oe:team:2895c70302bd198ff8327ba552cafdb,264,AS Trenčín esports
9213,oe:team:28bd4f4351e19c337f79665da9d649c,265,Polar Squad Esports
9221,oe:team:290627d9d3b48188e614d4433d66630,266,Fullclear Esports
9231,oe:team:291b1ecd389e1a53742e4e652a4c02f,267,TEAM ORANGE
9263,oe:team:294ae8f82e2061ab10ef6a3459bc02d,268,Leviatan Esports
9306,oe:team:297a4368db36b6d06ab4e3b8c1f1a33,269,Converse University
9312,oe:team:29ebc72f4b298bdef44063a8fe89751,270,Villarreal QLASH
9313,oe:team:29ef85d8a1244d668a749350ff1f2df,271,Fruition Esports
9320,oe:team:2a20f01b9c2fec8d3b781133e2bb7b2,272,WP Gaming
9326,oe:team:2a247555001e6364757f171f158f997,273,Dplus KIA
9381,oe:team:2a5e5fceaa40b335ebc6b49359abf62,274,Hanwha Life Esports Challengers
9500,oe:team:2a9a3008a57b3410f76ae3e4776626a,275,eBRO Gaming
9511,oe:team:2ac91e85ddcfa4e5c6ec6c9b5d3f3f0,276,Vivo Keyd
9634,oe:team:2acbd6362cc5096e13641bd088a72a6,277,Hanwha Life Esports Academy
9709,oe:team:2ae1a4c6fe17bf70dd4b5520d60f55b,278,NNO Prime
9723,oe:team:2afb248007781e3a3ff485eece218bd,279,Tricked Esport
9774,oe:team:2b3458d31ba7b76ce1e872c71294ed1,280,Team Mist
9790,oe:team:2b688a6cc8da916b7b3aaf2bd615605,281,Echo Fox Academy
9841,oe:team:2b7b9f30577e4eb59af48370ce8679c,282,JD|XL
9873,oe:team:2b9f01782d3b29a381114f7c283c458,283,DetonatioN Rising
9879,oe:team:2bcd837658f1f4d46be0deec2de6ab0,284,No Name
9880,oe:team:2bd27341f37c47ed3fc176f2ddb9725,285,Beetle Juice
9888,oe:team:2be2ebecc453760d7df4991a51a8edc,286,World Class Empyreans
9897,oe:team:2bf30b5ea36daa4ed16025d61f6da18,287,4everzenzyg
9898,oe:team:2c5866dddf12420590b19eb49ffb082,288,Crew e-Sports Club
9965,oe:team:2c5b2b78e33591922cfc0db2949ca0b,289,Peak Performance Y
9968,oe:team:2c6e7ebd2b826d217cd4987841bd899,290,Zephyr Esport
9970,oe:team:2c73dd4b4e6547f24e2d46acc17dc60,291,PlaPro.c58
9977,oe:team:2ca17e7780f4966b73fcf5f3e4ff97b,292,Nate9527
9979,oe:team:2cb996a4b0ffaca3bcf66fe91450243,293,Movistar R7
10013,oe:team:2cdf83c2f75fed75c2c693ee85c81e2,294,Team Pending
10024,oe:team:2d02ba0b874367692a25110f0e321f6,295,Universae Instituto FP
10027,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,296,Barça eSports
10086,oe:team:2d26f8190f9d5cd2e0cb2232d9b7481,297,Dplus KIA Challengers
10149,oe:team:2d358e69f7d1cb5dbd0ab99c7d49861,298,KODE Gaming
10156,oe:team:2d3ff4730e41e918bb24fa9f070da23,299,Lublin Shore
10157,oe:team:2d9e95ecefb34c32ff1a997ebe372f9,300,ViV Esport
10177,oe:team:2dfc66b98002c5afad2a98dbf86e350,301,Los Heretics
10226,oe:team:2e20c05347a053a7257f1bb639b417b,302,Keep Gaming
10231,oe:team:2e32a1985132a6c92ac8d39a3d158f0,303,ESC Ever
10300,oe:team:2e45edc1af6306d418511400cece5ab,304,Cruzeiro eSports
10309,oe:team:2e66da41dc460dd378e3bcc57042d31,305,FlyQuest
10527,oe:team:2e6d581037ed7a47664cb5d147614e1,306,Dragon Army Academy
10532,oe:team:2e79800a550f87f2378dbba9368396d,307,DWG KIA
10835,oe:team:2ed21f3214fcb3867b89a28ac39763e,308,7th heaven X
10840,oe:team:2ede2009837b8d7774a09a5dc367f92,309,Absolved
10850,oe:team:2ef197afa32eb4689943a62f7211bb8,310,Legion Gaming
10851,oe:team:2ef1e4f46f806850b2fb250af865813,311,The Last Dance
10853,oe:team:2f3f3e58c9f5e3efba3c2c64ee7e4d6,312,Boise State University
10858,oe:team:2f62f7949ae9858fc7f5ae789679b6a,313,Falkol Academy
10859,oe:team:2f758c15b9c1781b2d4032011ae1628,314,I May
10862,oe:team:2f839cf696806700bdca2c8dffcaa55,315,JAYOB e-Sports
10864,oe:team:2f92b845198a2186cc5d73860c14eb9,316,Saikyo Makinyan
10865,oe:team:2f9d5b62dd6216cb5e7e777844e17d8,317,Akademia
10880,oe:team:2fb261c42422ad5f427d95757271960,318,ZERØZONE
10884,oe:team:3022edaedc581a4f23f3e39d14bbce3,319,Could Be Better
10885,oe:team:30c141fd39621b22cf67eb62dbaea69,320,eMonkeyz
10965,oe:team:30d6a49f3d5f6455e6bd49dad39dcb1,321,eNsure
10975,oe:team:30f66b82471e9e35ce3b40e1794cf23,322,FROM ZERO TO HERO
10978,oe:team:30fa9a41992f6d79206892a5af03a43,323,All for One Gaming
10980,oe:team:31079f1545ca2d6e01c96256c3e8987,324,PIGSPORTS
11005,oe:team:312735b75233cb665fb2dc83485c93a,325,Valiants
11021,oe:team:312ee76ca74cbb5cb984d8b71ef4847,326,GameWard
11142,oe:team:31429ba7db9414629983bdba5210ea6,327,Tectonic Academy
11149,oe:team:3164955ca46e8960e8b1b520d722cba,328,Not Academy Team
11156,oe:team:318fb2b9c0a84b9e99c1ef22e01a6c8,329,Spain5
11157,oe:team:31ac21d217683775f54a242ab54f4e9,330,Mysterious Monkeys
11172,oe:team:31b35dcae7e5d01be2e407b0abe6a23,331,Suning-S
11313,oe:team:31df330ccc0f1b3b521959a24288ac4,332,SBTC Esports
11416,oe:team:31f6ccdc4e624abb0a528381291a572,333,Dragon Gate Team
11429,oe:team:32c3055d495d91676e208b0c8997536,334,Incubus
11467,oe:team:32c61c5bf86fc0dad1a88712e34f3fc,335,EBRO
11526,oe:team:32e7849cefe705cea410ccad1fe560a,336,No Name
11527,oe:team:32f5dedea90b1ec28566a3b0c278cc3,337,7th heaven
11579,oe:team:3300cac03807753d6b1c9a80f4a34bc,338,Xoldiers
11580,oe:team:333ba9fefa87eda14bd32c5420d7002,339,Winthrop University
11672,oe:team:3354e252e33ed55fd8fa14595ca1564,340,SK Telecom T1
11987,oe:team:3383aee09cbbd027fc9ebb11859de19,341,No Name
11988,oe:team:33882d595cdafd472dc1ded1b7ee10b,342,TBA
12000,oe:team:33968118a37b94e30cae520c22ce065,343,BowQen Blackbucks
12011,oe:team:33d17f3717f58e12a3da80b377221fb,344,FunPlus Phoenix
12334,oe:team:33ef9e523e6474ddd4833d4ad1bc8d7,345,Eternal Fire
12347,oe:team:3401055de8e987e2b873385429123bc,346,ESTORM
12382,oe:team:3406c21f701022dbe9d9bf397b41465,347,Team Liquid Academy
12584,oe:team:3413ca4510110b5181f3e4b24d52719,348,Splyce
12703,oe:team:3458023b7fd22a703b1813dc0163762,349,RunAway
12725,oe:team:345e0df57cf03f34fe5e509af96e7bd,350,Sengoku Gaming
12854,oe:team:34b127df58a2c8b9b072cea604c4932,351,Shadow EK
12875,oe:team:354fe9fa9e8a886b397f591b7f28e63,352,RockTribeEsports
12880,oe:team:359f4fcf1cfcd0894f52563d5cae1bc,353,V Gaming Adonis
